章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT006,Q0010,力試し,当座勘定取引に付帯する当座貸越について、正しいものは次のうちどれですか。,当座勘定取引に付帯する当座貸越取引については、銀行取引約定書の規定は適用されない。,銀行は、その裁量により極度額を超えて手形・小切手の支払をすることはできない。,取引先から当座勘定に受け入れた手形・小切手は、貸越金があるときは貸越金の担保となる。,取引先に信用悪化事由が生じた場合でも、当座勘定取引継続中は貸越金の返済を請求をすることができない。,銀行は、極度額までの貸越義務を負うので、債権保全の必要があっても、貸越を中止することができない。,3,取引先から当座勘定に受け入れた手形・小切手は、貸越金があるときは貸越金の担保となる。,当座勘定貸越約定書の前文は、当座勘定取引に付帯する当座貸越取引には、当座勘定規定および銀行取引約定書のほか当座勘定貸越約定書の各条項が適用されることを明らかにしている。したがって、(1)は誤りである。#銀行は、極度額までしか貸越義務を負わないが、その裁量によって極度額を超えて手形・小切手等の支払をすることができる(当座勘定貸越約定書1条2項)。したがって、(2)は誤りである。#貸越金がある場合には、当座勘定に受け入れた手形・小切手は、貸越金の担保として譲渡したものとみなされる(当座勘定貸越約定書4条)。したがって、(3)は正しく、これが本問の正解である。#取引先が銀行取引約定書(旧ひな型)5条所定の期限の利益の喪失事由に該当したような場合には、銀行は、当然にまたは請求によって、ただちに既存の貸越金の返済を請求することができるようになる(当座勘定貸越約定書5条)。しかし、この状態では新たな貸越債権が発生する可能性があるので、銀行は債権の保全を必要とする相当の事由があるときは、いつでも貸越を中止することができることとされている(当座勘定貸越約定書6条1項)。したがって、(4)、(5)は誤りである。
SECT006,Q0020,力試し,信用保証協会(以下「保証協会」という)の保証付貸付について、正しいものは次のうちどれですか。,保証協会の保証の法的性質は、民法の保証とは異なる特別な保証契約である。,保証契約は、保証協会と銀行の合意により成立し、信用保証書の交付を要しない。,保証契約の締結に際しては、一般の保証契約と同様に、銀行は担保保存義務免除の特約を締結している。,銀行は、最終履行期限後1年を経過した後は、保証協会に対して保証債務の履行を請求することができなくなる。,保証協会の承諾を得ないで、保証付貸付金をもって銀行の既存の債権の弁済に充当すると、保証協会は免責される。,5,保証協会の承諾を得ないで、保証付貸付金をもって銀行の既存の債権の弁済に充当すると、保証協会は免責される。,信用保証協会(以下「保証協会」という)の行う「信用保証」の法的性質は、中小企業者の委託にもとづいて将来発生する特定または不特定の債務を保証する民法上の保証であるとされている。したがって、(1)は誤りである。#保証申込に対して、保証協会が承諾した場合には、保証協会は銀行に対して信用保証書を交付し、この信用保証書の交付によって保証契約が成立する(信用保証約定書例1条)。したがって、(2)は誤りである。#民法504条は、法廷代位者の権利行使を確保するため、債権者に担保保存義務を課しているので、銀行は保証人や物上保証人との間で「銀行がその都合によって、担保もしくは他の保証を変更、解除しても免責を主張しない」旨の特約をし、担保保存義務の免除を受けているが、保証協会は銀行に対しこの義務を免除しいていない。したがって、(3)は誤りである。#銀行は、最終履行期限(期限の利益の喪失日を含む)後2年を経過した後は、保証協会に対し保証債務の履行を請求することができなくなる(信用保証約定書例7条)。したがって、(4)は誤りである。#銀行が保証協会の承諾を得ないで保証付貸付金をもって自行の既存の貸付金(保証付貸付金を含む)の弁済に充てたときは、保証協会は保証債務の全部または一部について免責される(信用保証約定書例11条1号)。したがって、(5)は正しく、これが本問の正解である。
SECT006,Q0030,力試し,代理受領について、誤っているものは次のうちどれですか。,代理受領は、貸付先が有する代金債権について、銀行が代理人として受領する旨の委任を受け、期日にその支払を受けることにより貸付金の回収を図る方法である。,代理受領は、譲渡・質入禁止の特約がある代金債権を担保取得する場合などに利用される事実上の担保である。,代金支払人の承諾の奥書がある代理受領の委任状に確定日付を徴すれば、第三者対抗要件を具備することができる。,代理受領では、代金支払人は貸付先に対する抗弁を銀行に対抗することができる。,代金支払人が代理受領を承諾しているにもかかわらず、貸付先に代金を支払った場合には、銀行に対して損害賠償責任を負うことがある。,3,代金支払人の承諾の奥書がある代理受領の委任状に確定日付を徴すれば、第三者対抗要件を具備することができる。,代理受領とは、銀行が債権担保の目的で、貸付先が代金支払人(注文主)に対して有する代金債権について貸付先から取立・受領の委任を受け、貸付先の代理人として代金支払人からその支払を受けて貸付金の回収を図る方法である。したがって、(1)は正しい。#代理受領は、代金債権に譲渡・質入禁止の特約がある場合や、貸付先や代金支払人が正式な担保とすることを好まない場合などに利用される事実上の担保である。したがって、(2)は正しい。#代理受領は、当事者間の契約であり、たんに債権的効力を有するにすぎないため、代金支払人の承諾の奥書を得た代理受領の委任状に確定日付を徴していても、それで第三者対抗要件を備えたことにはならない。したがって、(3)は誤りであり、これが本問の正解である。#代理受領では、代金債権の債権者は変更にならないので、代金支払人は貸付先に対するいっさいの抗弁を銀行に対抗することができる。したがって、(4)は正しい。#代金支払人が代理受領を承認しているにもかかわらず、貸付先に代金を支払ってしまった場合には、代金支払人は銀行に対し、損害賠償責任を負うものと解されている(最判昭和44・3・4、最判昭和61・11・20)。したがって、(5)は正しい。
SECT006,Q0040,力試し,各種担保の対抗要件について、誤っているものは次のうちどれですか。,抵当権の設定は、登記することにより第三者に対抗することができる。,指名債権の譲渡担保は、確定日付ある証書による債務者に対する通知またはその承諾により、債務者以外の第三者に対抗することができる。,法人が有する金銭債権の譲渡担保は、債権譲渡登記によって、債務者以外の第三者に対する対抗要件を具備することができる。,株券発行会社の譲渡担保は、その株式を取得した者の氏名・住所を株主名簿に記載しなければ、第三者に対抗することができない。,動産の譲渡担保は、その引渡しにより第三者に対抗することができる。,4,株券発行会社の譲渡担保は、その株式を取得した者の氏名・住所を株主名簿に記載しなければ、第三者に対抗することができない。,抵当権の設定は、その登記をしなければ、第三者に対抗することができない(民法177条)。したがって、(1)は正しい。#指名債権の譲渡を債務者その他の第三者に対抗するためには、譲渡人から債務者への通知または債務者の承諾が必要であり、債務者以外の第三者に対抗するためには、その通知・承諾に確定日付を要する(民法467条)。したがって、(2)は正しい。#法人の有する指名債権の譲渡担保については、債権譲渡登記ファイルに譲渡の登記をすることにより、債務者以外の第三者に対する対抗要件を具備することができる(動産及び債権の譲渡の対抗要件に関する民法の特例等に関する法律4条1項)。したがって、(3)は正しい。#株券発行会社の株式の譲渡担保は、当事者間の意思表示と株券の交付によってその効力を生じ(会計法128条1項)、株券の継続占有が株券発行会社以外の第三者に対する対抗要件となる。したがって、(4)は誤りであり、これが本問の正解である。#動産の譲渡担保は、その動産の引渡しが第三者対抗要件である(民法178条)。したがって、(5)は正しい。
SECT006,Q0050,力試し,貸金等根保証契約について、誤っているものは次のうちどれですか。,主たる債務の範囲に貸金等債務が含まれる根保証契約であっても、保証人が法人である者は、貸金等根保証契約に該当しない。,極度額の定めは、書面への記載がない場合には、その効力を生じない。,被保証債務の額が極度額を超える場合には、保証人は極度額相当額の元本と、それに付帯する利息・損害額を加えた額を弁済する義務を負う。,元本確定期日を定める場合には、その期日は根保証契約の締結日から5年以内でなければならない。,保証人は、確定した主たる債務の元本とそれに付帯する利息・損害金について、極度額を限度として履行する責任を負う。,3,被保証債務の額が極度額を超える場合には、保証人は極度額相当額の元本と、それに付帯する利息・損害額を加えた額を弁済する義務を負う。,貸金等根保証契約に該当するための要件は、①根保証契約であること、②主たる債務の範囲に貸金等債務(金銭の貸渡しまたは手形の割引を受けることによって負担する義務)が含まれるものであること、③個人を保証人とするものであることの3つである(民法465条の2第1項)。したがって、(1)は正しい。#貸金等根保証契約は、極度額を定めなければ効力を生じないものとされているが(民法465条の2第2項)、この極度額の定めについては、保証契約の様式性に関する民法466条2項の規定が準用されているので、書面への記載等がない場合には、その定めが否定される(同法465条の2第3項)。したがって、(2)は正しい。#貸金等根保証契約における極度額は、主たる債務の元本のほか、その利息、損害金等(同法465条の2第1項)、被保証債務の額が極度額を超えている場合でも、保証人の責任は極度額の範囲に限定される。したがって、(5)は正しく、(3)は誤りであり、これが本問の正解である。#貸金等根保証契約において元本確定期日を定める場合には、その期日は、根保証契約の締結の日から5年以内でなければならない(民法465条の3第1項)。したがって、(4)は正しい。
SECT006,Q0060,力試し,貸金等根保証契約における元本確定事由について、誤っているものは次のうちどれですか。,債権者が主たる債務者の財産に対し金銭債権についての強制執行を申し立て、手続きが開始されたときは、主たる債務の元本は確定する。,主たる債務者が破産手続開始の決定を受けたときは、主たる債務の元本は確定する。,保証人が死亡したときでも、主たる債務の元本は確定しない。,債権者が主たる債務者に財産に対し仮差押えを申し立てたときでも、主たる債務の元本は確定しない。,債権者と保証人との合意により、民法所定の元本確定事由以外の事由を元本確定事由として定めることもできる。,3,保証人が死亡したときでも、主たる債務の元本は確定しない。,民法465条の4は、貸金等根保証契約における元本確定事由として、次の3つをあげている。#①債権者が、主たる債務者または保証人の財産に対し、金銭債権についての強制執行または担保権の実行を申し立てたとき。ただし、強制執行または担保権の実行の手続の開始があったときに限る。#②主たる債務者または保証人が破産手続開始の決定を受けたとき。#③主たる債務者または保証人が死亡した時。#したがって、(1)、(2)、(4)は正しく、(3)は誤りであり、これが本問の正解である。#貸金等根保証契約における元本確定事由の規定は、片面的強行規定であると解されているので、上記①～③にあげられている事由について、あらかじめ債権者と保証人との間でこれに反する合意をしても、その合意は無効であるが、債権者と保証人との合意により、それ以外の事由を元本確定事由として定めることは許される。したがって、(5)は正しい。
SECT006,Q0070,力試し,抵当権について、正しいものは次のうちどれですか。,抵当権が設定されている土地が分筆されたときは、抵当権は消滅する。,抵当権が設定されている更地に建物が建てられたときは、その建物にも抵当権の効力が及ぶ。,他人に賃貸されている建物は、抵当権の目的とすることはできない。,借地上の建物に対する抵当権の効力は、借地権にも及ぶ。,抵当権により担保される債権と租税債権の優劣は、抵当権の設定登記と滞納処分による差押えの先後によって決せられる。,4,借地上の建物に対する抵当権の効力は、借地権にも及ぶ。,1筆の土地に抵当権を設定した後にその土地が2筆以上に分筆されても、抵当権は消滅することなく、それぞれの土地の上に存続する(不動産登記法40条参照)。したがって、(1)は誤りである。#土地と建物は別々の不動産であるから、土地に抵当権を設定しただけでは、その抵当権の効力はその土地上の建物には及ばない(民法370条本文)。したがって、(2)は誤りである。#抵当権は、目的物の占有を移転しない被占有担保特権であるから(民法369条1項)、賃貸中の不動産であっても、その目的とすることができる。したがって、(3)は誤りである。#借地上の建物について抵当権を設定した場合には、抵当権の効力は、従たる権利である借地権にも及ぶものと解されている(最判昭和40・5・4)。したがって、(4)は正しく、これが本問の正解である。#抵当権の被担保債権と租税の優劣は、抵当権の設定登記日と租税の法定納期限等の先後によって決せられる(国税徴収法16条)。したがって、(5)は誤りである。
SECT006,Q0080,力試し,根抵当権の元本の確定について、正しいものは次のうちどれですか。,根抵当権の担保すべき元本が確定した後に発生する利息債権は、当該根抵当権によっては担保されなくなる。,根抵当権の担保すべき元本が確定した後は、極度額の変更をすることはできない。,根抵当権者は、元本確定期日の定めがない場合には、いつでも元本の確定を請求することができる。,根抵当権者の競売申立によって根抵当権が確定した場合であっても、その後に自ら申立を取り下げれば確定の効果は消滅する。,元本確定期日の定めがある場合には、期日前に元本確定事由が生じても、根抵当権はこれによって確定しない。,3,根抵当権者は、元本確定期日の定めがない場合には、いつでも元本の確定を請求することができる。,根抵当権が確定した場合には、その後に発生する元本債権はもはやその根抵当権によっては担保されなくなるが、確定時に存在する元本に付帯する利息・損害金は、確定後に生じるものであっても、極度額の限度内であればその根抵当権によって担保される(民法398条の3第1項)。したがって、(1)は誤りである。#根抵当権の極度額は、優先弁済の限度を決定する基準であるから、被担保債権の範囲や債務者の変更(民法398条の4第1項)の場合と異なり、根抵当権が確定して被担保債権が具体的に特定した後も、その変更をすることができる(同法398条の5参照)。したがって、(2)は誤りである。#元本確定期日の定めがない場合には、根抵当権者は、いつでも元本の請求をすることができる(民法398条の19第2項・3項)。したがって、(3)は正しく、これが本問の正解である。#根抵当権者が自ら競売を申し立てた場合には、その後、競売の申立が取り下げられても、確定の効力は消滅しない(民法398条の20第2項本文参照)。したがって、(4)は誤りである。#元本確定事由(民法398条の20第1項ほか)が生じると、元本確定期日の到来前であっても、根抵当権は確定する。したがって、(5)は誤りである。
SECT006,Q0090,力試し,第三者の弁済と代位について、正しいものは次のうちどれですか。,代位弁済によって全部の弁済を受けた債権者は、債権証書および自己の占有する担保物を弁済者に交付しなければならない。,物上保証人は、債務者の意思に反して弁済をすることができない。,保証人は、代位による抵当権移転の付記登記をしなくても、弁済後に抵当不動産を譲り受けた第三取得者に対して債権者に代位することができる。,抵当不動産の第三取得者が抵当権の被担保債権を弁済した場合には、保証人に対して債権者に代位することができる。,弁済者が債権の一部のみを弁済した場合には、債権者に代位することができない。,1,代位弁済によって全部の弁済を受けた債権者は、債権証書および自己の占有する担保物を弁済者に交付しなければならない。,債権証書や担保物は、全部の弁済を受けた債権者にとってはもはや必要ではなく、むしろ代位者がその代位権を行使するのに必要であることから、代位弁済によって全部の弁済を受けた債権者は、債権証書および自己の占有する担保物を代位者に交付しなければないこととされている(民法503条1項)。したがって、(1)は正しく、これが本問の正解である。#利害関係を有しない第三者は、債務者の意思に反して弁済をすることができないが(民法474条2項)、物上保証人は弁済をするについて法律上の利害関係を有すると解されているので(大判昭和4・1・30)、債務者の意思に反しても弁済をすることができる。したがって、(2)は誤りである。#保証人は、あらかじめ代位弁済を原因とする抵当権の移転登記(代位の付記登記)をしておかなければ、保証履行をした後に抵当不動産を譲り受けた第三取得者に対して債権者に代位することができない(民法501条1号)。したがって、(3)は誤りである。#第三取得者は、被担保債権の弁済によって抵当権を消滅させた場合でも、債権者の保証人に対する権利を代位行使して保証人に請求することはできない(民法501条2号)。第三取得者は、抵当権の負担付きで不動産を取得した者であり、また代価弁済(同法378条)や抵当権消滅請求(同法379条)などの方法で保護されているからである。したがって、(4)は誤りである。#債権の一部について代位弁済があった場合には、一部についてのみ代位を生じ、代位者は、その弁済をした価額に応じて、債権者とともにその権利を行使することとなる(民法502条1項)。したがって、(5)は誤りである。
SECT006,Q0100,力試し,相殺通知の相手方として、正しいものは次のうちどれですか。,保証人の預金と相殺する場合には、債務者に対して通知しなければならない。,差押えを受けた債務者の預金と相殺する場合には、差押債権者に通知しなければならない。,債務者につき共同相続が開始した場合には、相続人の1人に対して通知をすれば、他の相続人に対しても相殺の効力が生じる。,債務者の預金に対し差押・転付を受け、転付が確定した場合には、転付債権者に通知しなければならない。,民事再生手続が開始した再生債務者の預金と相殺する場合には、監督委員に対して通知しなければならない。,4,債務者の預金に対し差押・転付を受け、転付が確定した場合には、転付債権者に通知しなければならない。,相殺通知は、相殺の一方の当事者である受働債権の債権者(銀行実務では預金者)に対して行うのが原則であるから、保証人の預金と相殺する場合には、保証人に対して相殺通知をしなければならない。したがって、(1)は誤りである。#預金に対して民事執行法や滞納処分による差押えがあった場合には、預金者または差押債権者のいずれに対して相殺通知をしてもよいと解されている(最判昭和39・10・27、最判昭和40・7・20)。したがって、(2)は誤りである。#借入金のような可分債務は、相続開始と同時に法律上当然に分割され、各共同相続人がその法定相続分に応じて承継すると解されているので(最判昭和29・4・8)、死亡した債務者の預金と相殺する場合には、相続人全員に対して通知をしなければならない。したがって、(3)は誤りである。#預金に対する転付命令が確定した場合には、預金は転付債権者に移転するので(民事執行法160条)、転付債権者に対して相続通知をしなければならない(最判昭和32・7・19)。したがって、(4)は正しく、これが本問の正解である。#再生債務者は、再生手続が開始された後も、原則として、財産の管理・処分権を失わないので(民事再生法38条)、保全管理人(同法79条1項・81条)や管財人(同法64条1項・66条)が選任されていない場合には、再生債務者に対して相殺数値をしなければならない。したがって、(5)は誤りである。
