章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT001,Q0010,第一章,普通預金の強制解約について、誤っているものは次のうちどれですか。,普通預金の名義人が存在しない事をが明らかになった場合には、銀行は預金口座を解約することができる。,預金口座の名義人の意思によらず解説されたことが明らかになった場合には、銀行は預金口座を解約することができる。,預金口座が無断譲渡された場合には、銀行は銀行口座を解約する事ができる。,銀行が預金口座を通知により解約する場合には、届出の住所・氏名にあてた解約通知が到達した時に解約の効力が生じる。,預金口座が公序良俗に反する行為に利用された場合には、銀行は預金口座を解約することができる。,4,銀行が預金口座を通知により解約する場合には、届出の住所・氏名にあてた解約通知が到達した時に解約の効力が生じる。,普通預金既定10条2項は、次の1つにでも該当した場合には、銀行からの預金者に通知することにより、預金口座を強制解約することができる旨を定めている。#①預金口座の名義人が存在しないことが明らかになった場合または預金口座の名義人の意思によらず解説されたことが明らかになった場合(1号)#②預金者が譲渡・質入れ禁止の制限に違反した場合(2号)#③預金が法令や公序良俗に反する行為に利用され、またはそのおそれがあると認められる場合(3号)#なお、通知により預金口座を解約する場合には、到達のいかんにかかわらず、銀行が解約の通知を届出のあった氏名、住所にあてて発信した時に解約されたものとして処理することとしている(普通預金既定10条2項なお書)。#　従って、(1)、(2)、(3)、(5)は正しく、(4)は誤りであり、これが本問の正解である。
SECT001,Q0020,第一章,預金の残高証明書の発行について、正しいものは次のうちどれですか。,預金者の破産管財人から残高証明書の発行依頼があった場合には、それに応じる義務がある。,誤った残高証明書を発行したため第三者に損害を与えても、銀行に法的責任が生じることはない。,相続人の１人から相続預金の残高証明書の発行依頼があっても、相続預金の全額について残高証明書を発行することはできない。,実際の預金残高より多い金額で残高証明書を発行した場合には、銀行は残高証明書記載の金額で預金債務を負担する。,営業時間中に当日付の残高証明書の発行依頼を受けたときは、その日の営業開始時の預金残高により証明書を発行する。,1,預金者の破産管財人から残高証明書の発行依頼があった場合には、それに応じる義務がある。,破産管財人は破産財団に属する財産の管理・処分権を有しているので(破産法78条1項)、預金者の破産管財人から残高証明書の発行依頼があった場合には、これに応じる義務がある。したがって(1)は正しく、これが本問の正解である。#誤った内容の残高証明書の記載を信じて取引を行った第三者に損害が生じた場合には、銀行は不法行為(民法709条)にもとづく損害賠償責任を負うことがある。したがって、(2)は誤りである。#預金のような可分債権は相続開始と同時に法律上当然に分割され、各共同相続人がその相続分に応じて権利を承諾すると解されており(最判昭和29・4・8)、また、相続人は、単純承認、限定承認または相続の放棄をする前に相続財産の調査をすることができるので(民法915条2項)、相続人の１人から残高証明書の発行依頼があった場合でも、相続預金残高の全額について残高証明書を発行して差し支えない。したがって、(3)は誤りである。#残高証明書の発行は、銀行の認識している預金残高という一定の事実を表示するものにすぎず、手形の振出のように一定の金額を無条件で債務負担する類の意思表示ではないので、実際の預金残高より多い金額を残高証明書に記載してしまった場合も、銀行が証明書記載の金額で預金債務を負担することはない。したがって、(4)は誤りである。#残高証明書は、照明日の最終残高を証明するという取扱いが通例であるので、営業開始時点での残高証明書を発行した場合、その後に入出金があれば、証明日の最終残高という点では誤った残高証明書となる。したがって、(5)は誤りである。
SECT001,Q0030,第一章,金融機関における顧客等の本人確認について、正しいものは次のうちどれですか。,経理担当者から会社名義で口座開設の申込があった場合には、会社の本人確認だけを行えばよい。,口座開設依頼人が本人確認に応じない場合でも、銀行は口座の開設を拒むことはできない。,10万円を超える現金による振込は、本人確認の対象となる。,預金契約等の継続的取引の際に作成された本人確認記録は、その契約が終了した日から10年間保存しなければならない。,本人確認済みの顧客であることが確認できても、現金取引の際には、そのつど本人確認を行わなければならない。,3,10万円を超える現金による振込は、本人確認の対象となる。,法人取引においては、法人の本人確認を行うことに加え、現に取引の任にあたる経理担当者についても本人確認を行わなければならないこととされている(金融機関等による顧客等の本人確認等及び預金口座等の不正な利用の防止に関する法律(本人確認法)3条2項)。したがって、(1)は誤りである。#銀行は、取引の相手方が預金契約の締結の際に本人確認に応じない場合には、口座の開設を拒むことが出来る(本人確認法6条)。したがって、(2)は誤りである。#平成18年の本人確認法施行令の改正(平成19年1月4日施行)により、本人確認の対象となる取引に「10万円を超える現金による振込」(同施行令3条1項21号)などが追加された。したがって、(3)は正しく、これが本問の正解である。#本人確認を行った場合には、ただちに本人確認記録を作成し、その契約が終了した日から7年間保存しなければならない(本人確認法4条)。したがって、(4)は誤りである。#すでに本人確認を行ったことのある顧客について、本人確認済みであることが確認できる場合には、本人特定事項を偽っていた疑いのある顧客や、取引の名義人になりすましている疑いがある相手方との取引を除き、本人確認の対象となる200万円を超える大口現金取引や10万円を超える現金による振込を行うときでも、再度本人確認を行う必要はない(本人確認法施行令3条1項21号)。したがって、(5)は誤りである。
SECT001,Q0040,第一章,金融機関における「疑わしい取引の届出」制度について、正しいものは次のうちどれですか。,架空名義の口座開設を企図した疑いがあるとして口座開設を断った場合には、届出の対象とならない。,届出を行ったときは、銀行はすみやかに取引の相手方やその者の関係者に報告しなければならない。,顧客の職業・事業内容等からみて合理性のない高額の取引や、頻繁な取引は届出の対象となる。,本人確認済みの口座については、疑わしい取引であると認められる場合であっても、届出の対象とはならない。,届出の対象となる犯罪収益は、麻薬等の薬物犯罪による収益に限られている。,3,顧客の職業・事業内容等からみて合理性のない高額の取引や、頻繁な取引は届出の対象となる。,銀行は、その業務にかかる取引の相手方が犯罪収益等隠匿(仮装)罪もしくは薬物犯罪収益等隠匿(仮装)罪にあたる行為を行っている疑いがあると認められる場合には、疑わしい取引の届出を行わなければならないが(組織的な犯罪の処罰及び犯罪収益の規制等に関する法律(組織的犯罪処罰法)54条1項)、ここにいう「取引の相手方」については、顧客との間で取引が成立したとは必ずしも必要とされていないので、架空名義の口座開設を企図したとして口座開設を断った場合でも届出の対象となりうる。したがって、(1)は誤りである。#疑わしい取引に関する情報は、その後、国家公安委員会・警察庁において整理・分析のうえ、関係する捜査機関等に情報として提供されるので、届出を行おうとすること、または、届出を行ったことを、その届出にかかる取引の相手方やその関係者にもらしてはならない(組織的犯罪処罰法54条2項)。したがって、(2)は誤りである。#顧客の職業、事業内容からみて合理的な理由のない多額の入出金が頻繁に行われる口座にかかる取引は、疑わしい取引の対象となる。したがって、(3)は正しく、これが本問の正解である。#本人確認の目的は、捜査機関による賃金トレースの効率性を高めることによって、銀行がテロ資金供与やマネー・ロンダリングに利用されることを防ぐことにあるので、本人確認済みの口座であっても、口座の動きや利用者に疑わしい事情があるものについては、疑わしい取引の届出の対象となる。したがって(4)は誤りである。#疑わしい取引の届出対象となる犯罪は、当初は麻薬等の薬物犯罪に限られていたが、平成12年2月施行の組織的犯罪処罰法によって、200を超える重大犯罪に拡大された(同法別表1号-68号)。したがって、(5)は誤りである。
SECT001,Q0050,第一章,妻が夫の預金通帳と届出印を持参して、夫名義の普通預金を無断で払い戻した場合について、正しいものはつぎのうちどれですか。,預金の払戻しの際に、預金者本人に来店者の受領権限を確認していないかぎり、銀行は免責されない。,通帳・届出印について事故届が提出されていた場合でも、預金者に過失があれば銀行は免責される。,夫婦は、相互に日常の家事に関する法律行為について他方を代理する権限を有するので、銀行は免責される。,通帳と届出印の確認ができていても、払戻請求者に正当な受領権限を疑わせる不審な事情があった場合には、銀行は免責されない。,異性名義の預金を払い戻した場合には、払戻しの相手が預金者本人でないことは明らかなので、銀行は免責されない。,4,通帳と届出印の確認ができていても、払戻請求者に正当な受領権限を疑わせる不審な事情があった場合には、銀行は免責されない。,無権限者に普通預金を払い戻した場合でも、債権の純占有者に対する弁済の規定(民法478条)や普通預金既定の免責約款(同規定5条1項・8条)が適用されれば、銀行は免責される。しかし、債権の純占有者に対する弁済として払戻しが有効とされるためには、銀行が善意・無遺失であることが要求され、また、免責約款も銀行が必要な注意義務を尽くすことを前提としているため、銀行に過失があればこの約款を適用することはできない(最判昭和46・6・10)。どの程度の注意義務を尽くせば銀行が無遺失として免責されるかについては、具体的な事案ごとに判断するしかないが、払戻請求者側に特に不審な点がない場合には、社会通念上一般に期待されている業務上相当の注意をもって慎重に印鑑照合を行えば足りるとされている(最判昭和46・6・10)。#実務においては、夫名義の預金の払戻しを妻が請求することはしばしばあるので、妻に正当な受領権限が疑われる不審な点がないかぎり、銀行係員が、妻が夫に無断で預金の払戻しをしている事実を知らず、かつ妻の払戻権限に疑念を抱かずにこの点を確かめることなしに、通帳と届出印を持参した妻に預金の払戻しをしても、銀行に過失があったものとは認められないので、銀行は免責される。したがって、(1)、(5)は誤りであり、(4)は正しく、これが本問の正解である。預金通帳および届出印について、夫から事故届が提出されていたにもかかわらず、銀行内での処理が遅延した結果、妻によって預金が払い戻されたような場合には、銀行に重大な過失があるので、夫の側にも過失があるときでも、銀行は免責されない。したがって、(2)は誤りである。#判例は、民法761条は、夫婦が相互に日常の家事に関する法律行為について他の一方を代理する権限を有することをも規定していると解している(最判昭和44・12・18)。しかし、預金の払戻行為が日常の家事の範囲内の行為であるか否かは、預金の払戻金額がその夫婦の生活水準に照らし高額であるかどうかによって判断されるものであり、預金の払戻行為について妻が常に代理権を有するというわけではない。したがって、(3)は誤りである。
SECT001,Q0060,第一章,偽造カード等及び盗難カード等を用いて行われる不正な機械式預貯金払戻し等からの預貯金者の保護等に関する法律(偽造・盗難カード預貯金者保護法)について、正しいものは次のうちどれですか。,この法律の保護の対象となる預金者は、個人・法人を問わない。,盗難カードによる払戻しについての補てん額は、常に預金者被った損害の全額である。,ローン専用カードによる金銭の借入も、この法律の保護の対象となる。,盗難カードの場合における補てん請求額は、この法律にもとづくもので、本来の預金債権とは別個の請求権である。,紛失したカードによる払戻しも、この法律の保護の対象となる。,4,盗難カードの場合における補てん請求額は、この法律にもとづくもので、本来の預金債権とは別個の請求権である。,偽造カード等及び盗難カード等を用いて行われる不正な機械式預貯金払戻し等からの預貯金者の保護等に関する法律(借入偽造・盗難カード預貯金者保護法)における「預貯金者」とは、銀行と預金等契約(預金の預入および引出にかかる契約またはこれらに併せて金銭の借入にかかる事項を含む契約をいう)を締結する個人をいうと定義されているので、(同法2条2項)、法人預金やローン専用カードによる借入は、同法による保護の対象とならない。したがって、(1)、(3)は誤りである。#盗難カードを用いて行われた払戻しによる損害については、預金者が偽造・盗難カード預貯金保護法5条1項所定の要件を満たす場合には、銀行は、預金者に過失がある場合を除き損害の全額を補てんしなければならない。ただし、預金者に過失がある場合でも、それが重大な過失でないときには、銀行は本来の補てん対象額の4分の3は補てんしなければならないこととされている(同法5条2項)。なお、補てんの対象となる金額は、同法5条1項1号の通知を行った日の30日前の日以後に行われた払戻しに相当する額に限られている(同法5条6項)。したがって、(2)は誤りである。盗難カードを用いて行われた払戻しによる預金者の損害の補てんは、その払戻しが預金の弁済として有効であるか否かに関係なく行われるものであり、偽造・盗難カード預貯金者保護法によって新たな請求権を発生させるものである。したがって、(4)は正しく、これが本問の正解である。#偽造・盗難カード預貯金者保護法は、預金者を保護するため、偽造カードまたは盗難カードを用いて行われた不正な払戻しによって生じた損害を、原則として預金者の負担とならないようにするものであるから、紛失カードを用いて行われた払戻しは、同法による保護の対象とならない(同法1条参照)。したがって、(5)は誤りである。
SECT001,Q0070,第一章,当座勘定取引の解約について、誤っているものは次のうちどれですか。,取引先は、その都合によって、いつでも取引を解約することができる。,取引先が手形交換所の取引停止処分を受けた場合には、銀行から通知がなくても当然に解約の効力が生じる。,銀行は、取引の解約後は解約前に振り出された手形・小切手について、その支払い義務を負わない。,銀行が届出の住所にあてて解約通知を発信した場合には、その通知が到達しなかったときでも、通常到達すべき時に到達したものとみなされる。,銀行は、取引を解約する際に、未使用の手形・小切手用紙を回収する法的な義務を負わない。,2,取引先が手形交換所の取引停止処分を受けた場合には、銀行から通知がなくても当然に解約の効力が生じる。,当座勘定契約の法的性質は委任であるから、取引先はその都合でいつでも解約することができ(民法651条1項)、当座勘定規定でもその旨を確認している(同規定23条1項本文)。したがって、(1)は正しい。#当座勘定取引を解約するには、当事者の一方から相手方に対する意思表示が必要であるから(民法97条1項)、取引先が取引停止処分を受けた場合でも、銀行は解約の通知を省略することはできない。したがって、(2)は誤りであり、これが本問の正解である。#銀行は、当座勘定取引の終了後は、その終了前に振り出しまたは引き受けられたものをも含め、いっさいの手形・小切手について支払義務を負わない(当座勘定規定23条2項)。したがって、(4)は正しい。#当座勘定取引を解約する際には、未使用の手形・小切手用紙をそのまま放置することは妥当ではないので、銀行はできるだけそれらの回収に努力すべきであるが(当座勘定規定24条2項参照)、それらを回収すべき法的義務はないものと解されている(最判昭和59・9・21)。したがって、(5)は正しい。
SECT001,Q0080,第一章,預金債権の消滅時効について、誤っているものは次のうちどれですか。,当座預金については、当座勘定取引契約の終了時から時効が進行する。,信用金庫などの日商人の金融機関の場合、時効期間は、預金者が商人であれば5年、非商人であれば10年である。,自動継続特約のない定期預金の消滅時効は、満期の時から進行する。,銀行が預金の払戻請求について消滅時効を援用することは、権利の乱用または信義則違反となる。,普通預金については、最初の預入があった時から時効が進行し、その後の預入や払戻しのつど時効が中断する。,4,銀行が預金の払戻請求について消滅時効を援用することは、権利の乱用または信義則違反となる。,当座預金については、当座勘定契約の存続中は時効は進行せず、当座勘定契約の終了時から時効が進行するものとされている(大判昭和10・2・19)。したがって、(1)は正しい。#信用金庫、信用組合などの商人でない金融機関の預金債権についても、当事者の一方のために商行為となる行為によって生じた債権であれば、商法522条の適用があると解されているので(大判明治44・3・24)、その消滅時効期間は、預金者が商人である時は5年間、商人でないときは10年間である。したがって、(2)は正しい。#自動継続特約のない定期預金については、満期日から時効が進行する。したがって、(3)は正しい。#銀行が消滅時効を援用しないのは一般的慣行であるが、この慣行があるからといって、消滅時効を援用した銀行が権利の濫用または信義則違反を問われることはないと解されている(東京地判昭和54・4・12、東京地判平成4・3・9、大阪高判平成6・7・7ほか)。したがって、(4)は誤りであり、これが本問の正解である。#普通預金については、最初の預入があった時から時効が進行し、その後、入出金があった場合には、そのたびに債務の承認(民法147条3号)があったものと解されるので、その時から再度時効が進行する。したがって、(5)は正しい。
SECT001,Q0090,第一章,民事執行法による預金の差押えについて、正しいものは次のうちどれですか。,差押えの効力は、差押え命令が預金者に送達されたときに生じる。,預金元本に差押えがあると、差押えの効力は、差押前に発生している利息にも当然に及ぶ。,普通預金に差押えがあると、預金者は差押えが取り下げられるまで、その口座を利用することができなくなる。,差押命令が預金者へ送達されてから1週間を経過すると、差押債権者は被差押預金の取立権を取得する。,差押えが競合した場合には、銀行は各差押債権者の請求債権額で案分して、被差押預金を支払わなければならない。,4,差押命令が預金者へ送達されてから1週間を経過すると、差押債権者は被差押預金の取立権を取得する。,預金に対する差押えの効力は、差押命令が銀行(第三債務者)に送達された時に生じる(民事執行法145条4項)。したがって、(1)は誤りである。#利息債権は元本債権の処分に従うので(民法87条2項参照)、差押命令の差押債権目録に預金の元本債権しか表示されていなくても、差押えの効力は当然に差押日以降に発生する利息債権にも及ぶ。しかし、差押命令の効力発生時にすでに発生している利息債権は、元本債権とは別個独立の債権となっているので、この利息債権を差し押さえるためには差押債権目録に表示しなければならない(大判大正5・3・8)。したがって(2)は誤りである。#普通預金に差押えがあると、預金者(債務者)は、差押えの効力が及ぶ残高について払戻しその他の処分を禁じられるので(民事執行法145条1項)、銀行はその残高を別段預金などに移して管理することとなるが、預金者は差押えによって預金口座の利用まで禁止されるわけではないので、その後も自由に預金口座を利用することができる(ただし、再度、差押えを受けるおそれはある)。したがって、(3)は誤りである。#差押債権者は、差押命令が預金者に送達された日から1週間を経過すると差し押さえた預金について取立権を取得する(民事執行法155条1項本文)。したがって、(4)は正しく、これが本問の正解である。#預金について差押えの競合が生じたときは、銀行は差し押さえられた預金の全額に相当する金銭を預金債務の履行地の供託所に供託しなければならない(民事執行法156条2項)。したがって、(5)は誤りである。
SECT001,Q0100,第一章,預金保険制度について、誤っているものは次のうちどれですか。,預金保険制度の対象金融機関に預金等をすると、預金者、金融機関および預金保険機構の間で自動的に保険関係が成立する。,外貨預金は、預金保険の対象外である。,預金保険の対象となる預金のうち、決済用預金以外の預金については、1金融機関ごとに1人あたり元本1000万円までとその利息が預金保険で保護される。,保険事故が発生した金融機関に借入があっても、預金者は保険対象外の預金と借入金とを相殺することができない。,任意団体であるマンション管理組合の預金は各構成員の預金として分割され、各構成員の預金として名寄せされる。,4,保険事故が発生した金融機関に借入があっても、預金者は保険対象外の預金と借入金とを相殺することができない。,預金保険制度の対象となる金融機関に預金等をすると、預金者、金融機関および預金保険機構との間で自動的に保険関係が成立する(預金保険法49条1項)。したがって、(1)は正しい。#預金保険制度の対象となる預金等は、預金、定期積金、掛金、元本補てん契約のある金銭信託(貸付信託を含む)、金融債(保護預り専用商品に限る)及びこれらの預金等を用いた積立・財形貯蓄商品、確定拠出年金の積立金の運用にかかる預金等に限定されており(預金保険法2条2項)、外貨預金や譲渡性預金は対象から除外されている。したがって、(2)は正しい。#金融機関が破綻した場合に預金保険で保護される預金等の額は、預金保険の対象となる預金等のうち、決済用預金以外の預金等については1金融機関ごとに預金者1人あたり元本1000万円までとその利息となる(預金保険法54条2項、同法施行令6条の3)。したがって、(3)は正しい。#預金者が破綻金融機関から借入をしている場合には、預金者は民法の原則にもとづいて相殺の意思表示を行うことにより、預金等と借入金とを相殺することができる(民法506条1項)。なお、各種の預金規定には、期限未到来の定期預金や担保預金を自働債権とする相殺も可能となるよう特約がおかれている(期日指定定期預金規定(ひな型)8条1項ほか)。したがって、(4)は誤りであり、これが本問の正解である。#法人格を有していないマンション管理組合は、権利能力なき社団とそれ以外のいわゆる任意団体のいずれかに分けられるが、任意団体については、1預金者として扱えないため、その預金は各構成員の預金として分割され、各構成員の他の預金とともに名寄せされることとなる。したがって、(5)は正しい。
